,Vendor,Product Name,Technology,License,Portlet API
0,Apache Software Foundation,Jetspeed 2.3.1,Java EE,Apache License v2.0,JSR-286
1,ATG,ATG Portal,Java EE,Proprietary,JSR-168
2,Broadvision,Broadvision Portal 8.2,Java EE,Proprietary,JSR-168
3,Bluenog,Bluenog ICE 4.5,Java EE,Proprietary,JSR-168
4,Digital Hive,Digital Hive,Java EE,Proprietary,Proprietary and Java API
5,Edge Technologies,enPortal,Java EE,Proprietary,Proprietary and Java API
6,Elcom Technology,CommunityManager.NET,.NET,Proprietary,unknown
7,JBoss and eXo,GateIn Portal 3,Java EE,LGPL,JSR-286
8,Hippo,Hippo,Java EE,Open Source and Proprietary Licenses,Widgets / WOA
9,HCL Technologies (formerly IBM),WebSphere Portal 9.5,Java EE,Proprietary,"JSR-168, JSR-286, WSRP, Widgets / WOA, CMS"
10,Interwoven,TeamPortal,Java EE,Proprietary,JSR-168
11,JBoss,JBoss Enterprise Portal Platform 5.1,Java EE,LGPL,"JSR-286, WSRP"
12,Larsen & Toubro Infotech,IntraNet,ASP.NET,Proprietary,unknown
13,Liferay,Liferay Portal 7.2,Java EE,LGPL and Proprietary Licenses,"JSR-168, JSR-286, WSRP"
14,Magnolia International Ltd.,Magnolia CMS,Java EE,GPL and Proprietary Licenses,"Components, Spring, CMIS, JSR-170, Web-Services, JSON, JAAS, REST, Open-Social"
15,Mairie de Paris,Lutèce,Java EE,BSD,JSR-168
16,MetaQuotes Software Corp.,TeamWox,C++,Proprietary,
17,Microsoft,Office SharePoint Server 2010,ASP.NET,Proprietary,"WSRP,Webparts(Proprietary)"
18,Open Text Corporation,Vignette Portal 8.0,Java EE,Proprietary,JSR-286
19,Oracle,Oracle WebCenter Suite 12c,Java EE,Proprietary,"JSR-168, JSR-286, WSRP"
20,Oracle (BEA Systems),Oracle WebLogic Portal 10g,Java EE,Proprietary,"JSR-168, JSR-286"
21,Oracle (BEA Systems),Oracle WebCenter Interaction 10g,Java EE/ASP.NET,Proprietary,JSR-168
22,Oracle,Oracle IAS Portal 10g,Java EE,Proprietary,JSR-168
23,Oracle Cloud,WebCenter Portal Cloud,Java EE,Proprietary,"JSR-168, JSR-286"
24,Samsung SDS,ACUBE Portal 5.0,Java EE,Proprietary,JSR-168
25,SAP SE,SAP NetWeaver 7.5,Java EE,Proprietary,JSR-168
26,SORCE,SORCE V9,ASP.NET,Proprietary,unknown
27,Sun Microsystems,Sun Java System Portal Server 7.2,Java EE,"Open Source, licensing & support plans",JSR-286
28,Sun Microsystems,Sun GlassFish Web Space Server 10.0,Java EE,"Open Source, licensing & support plans",JSR-286
29,Tibco Software,PortalBuilder 5.2,Java EE,Proprietary,JSR-168
30,TmaxSoft,ProPortal 4.0,Java EE,Proprietary,JSR-168
31,Jasig,uPortal,Java EE,Apache License v2.0,"JSR-168, JSR-286"
